xtf_id,Name,HeatPotential_MWha,HeatSupplierCategory,_x,_y
296400,Stein Am Rhein,8900,12,2705676,1280475
297100,Hallau (Klettgau),11100,12,2676316,1282565
300101,Herisau (Saum),200,12,2741031,1250120
300102,Herisau (Bachwis),0,12,2737721,1250830
300201,Hundwil (Schwaegalp),10,12,2741551,1235600
300202,Hundwil (Schmitten),400,12,2742251,1247900
300203,Hundwil (Boemmeli),20,12,2741241,1242840
300600,Urnaesch (Furth),1700,12,2740261,1243400
300700,Waldstatt (Aueli),1400,12,2740081,1247250
302100,Buehler (Au),4000,12,2748376,1248850
302301,Speicher (Muehleli),2400,12,2751601,1253800
302401,Teufen (Gmuenden),5700,12,2744701,1250300
302501,Trogen (Braendli),2100,12,2752601,1253375
303403,Rehetobel (Habset),100,12,2752351,1254600
310100,Appenzell (Boedeli),8100,12,2748001,1245040
310200,Gonten/Jakobsbad,600,12,2742501,1242785
320302,St. Gallen (Au),29900,12,2742826,1253375
320401,Sg-Hofen (Wittenbach),44900,12,2747601,1259100
321700,Steinach (Morgental),23500,12,2749851,1263150
323100,Au (Rosenbergsau),31400,12,2766000,1254600
323700,Thal/Altenrhein,44600,12,2760401,1262100
325100,Altstaetten,10000,12,2760530,1248520
325400,Oberriet,6800,12,2761530,1244900
325600,Ruethi (Sg),2100,12,2759750,1241050
327100,Buchs,19100,12,2754951,1227100
327200,Gams,2600,12,2753701,1230400
327600,Wartau,4100,12,2756901,1218300
329100,Bad Ragaz,8900,12,2757101,1209500
329200,Flums (Seez),9700,12,2744151,1218850
329300,Mels/Weisstannen,100,12,2746751,1208500
329404,Pfaefers/Vaettis,300,12,2753121,1197600
329501,Mittensee,3300,12,2733126,1219725
329600,Sargans (Saar),9500,12,2753501,1214075
329800,Walenstadt,3900,12,2741326,1220550
333201,Eschenbach,6300,12,2712751,1232570
333500,Jona,22000,12,2706751,1231350
333800,Schmerikon (Obersee),17200,12,2715601,1230800
335200,Ebnat-Kappel,4400,12,2726301,1237300
335400,Krummenau/Nesslau-Neu St.  Johann,1800,12,2732601,1232000
335601,Churfirsten (Stein),1800,12,2734971,1229420
335702,Wildhaus (Saegenboden),500,12,2746921,1229300
337200,Hemberg,500,12,2732051,1240300
337600,St. Peterzell/Wald-Sch. ,1200,12,2734001,1242800
337700,Wattwil,8100,12,2724181,1241530
339100,Buetschwil,5200,12,2723961,1247125
339200,Kirchberg/Bazenheid,8000,12,2723551,1252850
340200,Flawil,24200,12,2733126,1252975
340301,Ganterschwil,800,12,2724071,1249100
340500,Jonschwil/Schwarzenbach,3100,12,2722701,1256500
340603,Mogelsberg/Necker,2200,12,2727651,1246400
340802,Uzwil,16300,12,2728601,1257100
342200,Niederbueren,11500,12,2733301,1259400
342500,Wil,20600,12,2722101,1256700
342600,Zuzwil,4400,12,2726201,1258200
350601,Vaz/Obervaz (Faschas),500,12,2759821,1173000
350602,Vaz/Obervaz (Canius),1600,12,2761541,1175320
352101,Berguen,400,12,2776361,1166970
355101,Brusio,900,12,2807972,1124260
356101,Poschiavo (Li Geri),2600,12,2803662,1130460
358201,Schluein (Gruob),5700,12,2736651,1182650
360301,Vals,700,12,2733901,1165529
366101,Cazis (Waldau),8400,12,2752251,1178650
368101,Avers/Cresta,30,12,2759281,1148880
369301,Nufenen,100,12,2738662,1155691
369401,Spluegen,300,12,2745061,1157730
369501,Sufers,100,12,2747661,1159280
371201,Zills-Reischen (V. Schons),1300,12,2753701,1167900
373201,Flims,2200,12,2742061,1188580
373402,"Trin (Dabi,digg)",1100,12,2746751,1187680
374601,Zernez,800,12,2802981,1176100
375201,Samnaun,600,12,2826401,1205510
376201,Scuol (Sot Ruinas),2800,12,2819531,1187100
378201,Celerina (Staz),6900,12,2786141,1153920
378601,Samedan (Sax),2800,12,2787981,1157720
378801,S-Chanf (Furnatsch),2200,12,2796381,1166160
378902,Sils Im Engadin (Fex),40,12,2778501,1143430
379001,Silvaplana,1300,12,2781821,1148540
380501,Castaneda,300,12,2731501,1124249
380801,Rossa,100,12,2729601,1134549
382101,Lostallo,1700,12,2734351,1128699
382201,Mesocco (San Bernardino),200,12,2734821,1146560
385102,Davos (Gadenstatt),7900,12,2779501,1181120
385103,Davos (Glaris),300,12,2778701,1179170
385104,Davos (Monstein),200,12,2777581,1176710
387101,Klosters (Gulfia),2500,12,2785181,1195260
387102,Klosters (Serneus),400,12,2782701,1196550
389101,Luzein (Dalvazza),2500,12,2776761,1198670
390101,Chur,43500,12,2759401,1193250
392101,Arosa,1700,12,2771401,1182850
397201,Seewis I. P.  (V-Praettigau),6300,12,2766861,1204920
398101,Breil/Brigels (Sorts),1000,12,2725301,1179800
398201,Disentis/Muster (Disla),100,12,2710021,1174240
398202,Disenti/Muster (Raveras),1500,12,2708551,1173600
398302,Medel Lucmagn (Curaglia),300,12,2708270,1169700
398601,Tujetsch,1000,12,2701380,1170150
398701,Trun (Zavragia),1900,12,2719951,1178240
400100,Aarau,59000,12,2647301,1250550
402700,Fislisbach,9600,12,2661926,1254850
403000,Killwangen,15800,12,2669101,1254120
403300,Mellingen,15200,12,2662301,1252825
404100,Stetten,9500,12,2665001,1249800
404200,Turgi (Baden),46600,12,2662551,1259900
404300,Unterehrendingen (Ob. Surb),10200,12,2667901,1262250
404700,Wuerenlingen,3700,12,2660101,1263750
406300,Bremgarten,17000,12,2668451,1245500
407500,Rudolfstetten,3600,12,2671876,1247550
407900,Unterlunkhofen (Kelleramt),10600,12,2670801,1241200
408200,Wohlen,23900,12,2661434,1246869
411800,Umiken,2100,12,2656561,1258980
412100,Schmittenbach (Villigen),5400,12,2659301,1264300
412200,Villnachern,1300,12,2655151,1257950
412300,Windisch (Brugg),35600,12,2659901,1260075
413500,Gontenschwil,2700,12,2653001,1237500
414100,Reinach (Oberwynental),0,12,2655431,1234850
414400,Schoeftland,7700,12,2646101,1240700
414500,Teufenthal (Mittl. Wynent. ),6600,12,2650881,1242800
416700,Hornussen,3100,12,2646201,1261550
416900,Kaisten (Ciba-Geigy),19100,12,2644776,1266825
419800,Hendschiken (Falkenmatt),8800,12,2658901,1249250
420300,Moeriken-Wildegg (Lenzburg),40200,12,2654751,1252200
420800,Seengen (Hallwilersee),14000,12,2656678,1242124
422900,Buenzen (Chlostermatte),3600,12,2666401,1240800
423400,Merenschwand (Reuss-Sch. ),4500,12,2672776,1235650
423600,Muri,7000,12,2668301,1237150
423700,Oberrueti,2200,12,2673201,1225070
423900,Sins,6300,12,2672876,1228050
425400,Moehlin (Bachtalen),16500,12,2630161,1269570
425800,Rheinfelden,13800,12,2625073,1266716
427100,Aarburg,22900,12,2635714,1240355
427200,Attelwil,1900,12,2646301,1235120
427600,Koelliken,9800,12,2644576,1244275
428000,Oftringen (Zofingen),27100,12,2636651,1239200
430300,Boettstein/Kleindoettigen,3200,12,2660801,1269625
430900,Klingnau,6700,12,2660401,1270900
431100,Leibstadt,1700,12,2654251,1271600
431300,Leuggern,1700,12,2658951,1271600
432100,Unterendingen/Endingen,4900,12,2664051,1266300
432300,Zurzach,7500,12,2664301,1272250
441600,"Hefenhofen (Aachtal,moos)",17400,12,2741781,1268440
442600,Kesswil,4000,12,2740801,1273700
443600,Romanshorn,13100,12,2745621,1269140
447100,Bischofszell,6500,12,2735301,1262250
449700,Halden,600,12,2733251,1263300
454200,Willisdorf (Diessenhofen),4400,12,2696711,1283100
455100,Aadorf (Luetzelmurgtal),11900,12,2709701,1265000
456600,Frauenfeld,28000,12,2709421,1270125
459100,Matzingen (Lauchetal-Murgtal),13000,12,2711401,1265250
463500,Lippoldswilen (Kemmental),1900,12,2725871,1274200
469100,Muensterlingen,9200,12,2733001,1277899
469600,Taegerwilen (Gottlieben),3800,12,2728251,1280019
474600,Muenchwilen (Ob. Murgtal),16300,12,2717301,1261125
480100,Berlingen (Untersee),4300,12,2720351,1281449
483100,Muellheim,4800,12,2716501,1272500
483700,Pfyn,2900,12,2713526,1272250
486400,Steckborn,3100,12,2715201,1280200
494100,Maerstetten,2700,12,2721441,1272420
494600,Weinfelden (Mittelthurgau),24000,12,2723901,1269575
500500,Giubiasco (Bellinzona),42400,12,2719960,1114774
500900,Isone,300,12,2719630,1109609
506100,Airolo,1100,12,2690888,1153450
511301,Locarno (Ticino-Cdl),19500,12,2710750,1114039
511302,Locarno (Maggia-Cdl),40900,12,2704706,1112813
515100,Bioggio (Lugano),99600,12,2714570,1096459
517800,Croglio/Magliasina,12000,12,2708700,1093299
520300,Morcote,600,12,2714130,1086939
526800,Vacallo (Chiasso),22800,12,2724020,1077808
528100,Biasca,10400,12,2718650,1132199
540100,Aigle,7700,12,2561799,1129350
540200,Bex,5600,12,2565849,1121500
540500,Gryon,1100,12,2571550,1124450
540600,Lavey-Morcles,4800,12,2566899,1118500
540602,Dailly,20,12,2568083,1163960
540700,Leysin,3200,12,2567275,1131875
540900,Ollon,5800,12,2564749,1126750
541001,Ormont-Dessous/Le Sepey,500,12,2569950,1134250
541002,Ormont-Dessous/La Forclaz,100,12,2571630,1133370
541100,Ormont-Dessus/Les Diablerets,800,12,2577460,1133710
541200,Rennaz,7500,12,2560320,1136880
541300,Roche (Sige),1200,12,2560580,1135770
542100,Apples,1000,12,2523300,1157101
542200,Aubonne,4100,12,2520490,1148401
542300,Ballens (Veyron),800,12,2517660,1156881
542500,Biere,1200,12,2516500,1153901
542800,Gimel,1500,12,2514150,1154451
543400,St-George,800,12,2510500,1157701
543700,Saubraz,300,12,2514950,1151851
545100,Avenches,3800,12,2570000,1193700
545200,Bellerive (Apev),2000,12,2568950,1196600
545300,Chabrey,300,12,2564880,1197670
545600,Cudrefin,1200,12,2567995,1200800
547100,Bettens,500,12,2533150,1164141
547300,Boussens,800,12,2534580,1160521
547400,La Chaux,500,12,2526350,1164081
547600,Chevilly,200,12,2526750,1165751
547900,Cuarnens,400,12,2523740,1164541
548100,Dizy,200,12,2527390,1165231
548200,Eclepens,800,12,2531750,1166901
548600,L'isle,700,12,2521800,1163751
548700,Lussery-Villars,500,12,2530650,1164801
549000,Moiry,400,12,2524600,1166521
549100,Mont-La-Ville,400,12,2521200,1165851
549200,Montricher,800,12,2519200,1160676
549300,Orny,300,12,2530550,1169301
549601,Penthaz (Aie),7600,12,2530410,1161201
549602,Penthaz/Sullens,1100,12,2531950,1160551
549800,La Sarraz,2900,12,2529060,1167181
549900,Senarclens (Siegs),700,12,2526520,1160281
550000,Severy-Pampigny,1000,12,2523700,1158551
551201,Bercher (Mentue),1600,12,2544500,1171551
551300,Bioley-Orjulaz (Mortigue),2700,12,2536150,1164001
551400,Bottens,900,12,2539750,1163301
551500,Bretigny-Sur-Morrens,3700,12,2538450,1160751
551600,Cugy,1200,12,2538130,1159301
551800,Echallens,6100,12,2537450,1166451
551900,Eclagnens (Siegeo),1300,12,2534800,1167091
552001,Essertines/Ru Des Bas,500,12,2538850,1174401
552200,Fey,500,12,2542200,1170401
552701,Morrens (Talent),400,12,2537850,1161031
552702,Morrens (Mebre),400,12,2537450,1159141
553300,Poliez-Pittet,700,12,2541960,1165020
553600,Sugnens,300,12,2541020,1167901
553800,Villars-Tiercelin,300,12,2543470,1164640
553900,Vuarrens (Bas De La Vaux),800,12,2538640,1171171
555100,Bonvillars,400,12,2541450,1186701
555300,Champagne,1600,12,2540900,1186301
555500,Corcelles-Pres-Concise,1000,12,2544850,1188750
555600,Fiez,700,12,2537890,1186091
556100,Grandson,3500,12,2538320,1183501
556300,Mutrux,100,12,2545800,1192780
556500,Onnens,400,12,2542830,1187020
556600,Provence,300,12,2545950,1193350
556801,Ste-Croix,3700,12,2530250,1185501
556802,Ste Croix/Auberson,500,12,2526400,1185901
558600,Lausanne,187500,12,2535000,1152500
559000,Pully,17600,12,2540920,1150750
560200,Cully (Siel),4000,12,2546130,1149030
560401,Forel/Chercottaz,200,12,2546000,1152600
560402,Forel/Pigeon,1200,12,2548880,1153000
560600,Lutry,8200,12,2543320,1149925
561101,Savigny/Pra Charbon,2500,12,2546350,1154390
562200,Bremblens (Aiev),3900,12,2530100,1157001
562400,Bussigny-Pres-Lausanne,8800,12,2532110,1155001
563000,Colombier,800,12,2526400,1156501
563900,Lully-Lussy,1100,12,2525450,1150101
564200,Morges,27800,12,2528900,1152101
564400,Reverolle,400,12,2524070,1154651
564600,St-Prex,7100,12,2524000,1147501
565200,Villars-Sous-Yens,500,12,2522600,1150911
565400,Vullierens,400,12,2527400,1158101
566100,Boulens,600,12,2545280,1170600
567000,Denezy,100,12,2550570,1174690
567300,Hermenches,300,12,2548390,1166000
567500,Lucens (Aiml),10200,12,2554900,1173850
568000,Ogens,200,12,2545360,1174021
568200,Peyres-Possens,500,12,2543510,1167660
568500,Saint-Cierges,400,12,2546000,1170830
568700,Sottens,800,12,2546715,1167336
568900,Thierrens,600,12,2547515,1173116
571900,Gingins-Cheserex,1900,12,2503799,1139941
572100,Gland (Apec),27400,12,2511999,1142251
572400,Nyon,18600,12,2505889,1139851
572500,Prangins,3200,12,2509119,1138581
574200,Agiez,400,12,2529330,1175051
574300,Arnex-Sur-Orbe,500,12,2530150,1171146
574400,Ballaigues,800,12,2521965,1175276
574500,Baulmes,800,12,2530950,1182701
574900,Chavornay,4700,12,2532770,1174651
575200,Croy (Aivn),1300,12,2526620,1171161
575700,Orbe,7400,12,2531800,1176341
576400,Vallorbe,3000,12,2519430,1174111
576500,Vaulion,400,12,2520450,1171761
576601,Vuiteboeuf,300,12,2532400,1184701
576602,Vuiteboeuf/Peney,100,12,2533400,1183651
578700,Ecoteaux,400,12,2555300,1154900
579800,Ropraz,500,12,2547750,1163200
579900,Servion,1800,12,2550275,1157800
580300,Vulliens (Siemv),3400,12,2550000,1163220
581300,Chevroux,400,12,2559400,1193500
581500,Combrement-Le-Petit,500,12,2552325,1178325
581600,Corcelles-Pres-Payerne,1900,12,2564030,1188360
581700,Grandcour,1300,12,2561870,1190630
581800,Granges-Pres-Marnand,2100,12,2564025,1188350
581900,Henniez,1500,12,2557150,1177150
582200,Payerne,8400,12,2561630,1187005
582700,Trey,500,12,2559905,1180350
584101,Chateau-D'oex/Berceau,2300,12,2576150,1146200
584102,Chateau D'oex/Lecherette,40,12,2573900,1141000
584103,Chateau D'oex/L'etivaz,100,12,2577299,1141500
584200,Rossiniere,400,12,2572570,1145900
584301,Rougemont,500,12,2582250,1148350
584302,Rougement-Flendruz,100,12,2580560,1147660
585100,Allaman,300,12,2519149,1146451
586000,Perroy (Aibfp),2100,12,2517949,1146951
